Gender,Grade,Age,School,Type,Goal,Grades,Sports,Looks,Money
girl,5,12,Brentwood Elementary,Suburban,Grades,2,3,1,4
girl,5,10,Brentwood Elementary,Suburban,Grades,3,4,1,2
girl,5,11,Brentwood Elementary,Suburban,Grades,2,4,1,3
girl,5,11,Brentwood Elementary,Suburban,Grades,2,1,4,3
girl,5,10,Brentwood Elementary,Suburban,Grades,2,3,1,4
girl,5,10,Brentwood Elementary,Suburban,Grades,1,2,3,4
girl,5,12,Brentwood Elementary,Suburban,Popular,3,4,1,2
girl,5,11,Brentwood Elementary,Suburban,Grades,1,4,2,3
girl,5,11,Brentwood Elementary,Suburban,Grades,3,4,1,2
girl,5,10,Brentwood Elementary,Suburban,Grades,3,1,2,4
girl,5,10,Brentwood Elementary,Suburban,Grades,2,1,4,3
girl,5,10,Brentwood Elementary,Suburban,Popular,2,3,1,4
girl,5,10,Brentwood Elementary,Suburban,Popular,3,2,1,4
girl,5,10,Brentwood Elementary,Suburban,Grades,1,3,2,4
girl,5,11,Brentwood Elementary,Suburban,Sports,1,3,2,4
girl,6,11,Brentwood Middle,Suburban,Popular,2,3,1,4
girl,6,11,Brentwood Middle,Suburban,Popular,1,3,2,4
girl,6,11,Brentwood Middle,Suburban,Popular,1,3,4,2
girl,6,11,Brentwood Middle,Suburban,Grades,4,1,2,3
girl,6,11,Brentwood Middle,Suburban,Sports,1,2,3,4
girl,6,11,Brentwood Middle,Suburban,Grades,3,4,1,2
girl,6,11,Brentwood Middle,Suburban,Popular,1,2,3,4
girl,6,13,Brentwood Middle,Suburban,Grades,2,4,1,3
girl,6,11,Brentwood Middle,Suburban,Popular,4,2,1,3
girl,6,11,Brentwood Middle,Suburban,Popular,4,3,1,2
girl,6,11,Brentwood Middle,Suburban,Popular,3,4,1,2
girl,6,12,Brentwood Middle,Suburban,Grades,2,3,1,4
girl,6,11,Brentwood Middle,Suburban,Grades,4,3,1,2
girl,6,11,Brentwood Middle,Suburban,Popular,4,3,1,2
girl,6,11,Brentwood Middle,Suburban,Grades,3,2,1,4
girl,6,11,Brentwood Middle,Suburban,Grades,4,3,1,2
girl,6,11,Brentwood Middle,Suburban,Grades,4,1,2,3
girl,6,11,Brentwood Middle,Suburban,Sports,3,1,2,4
girl,6,11,Brentwood Middle,Suburban,Grades,4,3,2,1
girl,6,11,Brentwood Middle,Suburban,Popular,1,2,3,4
girl,6,12,Brentwood Middle,Suburban,Grades,3,1,2,4
girl,6,11,Brentwood Middle,Suburban,Popular,4,3,1,2
girl,6,12,Brentwood Middle,Suburban,Popular,2,3,1,4
girl,6,11,Brentwood Middle,Suburban,Popular,2,1,3,4
girl,6,11,Brentwood Middle,Suburban,Grades,2,3,1,4
girl,6,11,Brentwood Middle,Suburban,Popular,4,3,1,2
girl,6,11,Brentwood Middle,Suburban,Grades,3,2,1,4
girl,6,11,Brentwood Middle,Suburban,Grades,4,2,1,3
girl,6,11,Brentwood Middle,Suburban,Grades,3,4,1,2
girl,6,11,Brentwood Middle,Suburban,Grades,4,3,1,2
girl,6,12,Brentwood Middle,Suburban,Sports,4,3,2,1
girl,6,11,Brentwood Middle,Suburban,Popular,1,3,2,4
girl,6,11,Brentwood Middle,Suburban,Grades,4,2,1,3
girl,6,11,Brentwood Middle,Suburban,Grades,4,3,1,2
girl,6,12,Brentwood Middle,Suburban,Grades,3,2,1,4
girl,6,12,Brentwood Middle,Suburban,Grades,4,2,1,3
girl,6,11,Brentwood Middle,Suburban,Grades,4,2,1,3
boy,6,11,Brentwood Middle,Suburban,Popular,3,1,2,4
boy,6,12,Brentwood Middle,Suburban,Grades,3,1,2,4
boy,6,11,Brentwood Middle,Suburban,Popular,3,2,1,4
boy,6,11,Brentwood Middle,Suburban,Popular,4,2,1,3
boy,6,12,Brentwood Middle,Suburban,Grades,4,1,2,3
boy,6,12,Brentwood Middle,Suburban,Grades,1,3,4,2
boy,6,11,Brentwood Middle,Suburban,Popular,3,1,2,4
boy,6,12,Brentwood Middle,Suburban,Grades,1,2,3,4
boy,6,12,Brentwood Middle,Suburban,Grades,2,1,3,4
boy,6,12,Brentwood Middle,Suburban,Popular,4,3,1,2
boy,6,12,Brentwood Middle,Suburban,Grades,4,1,2,3
boy,6,11,Brentwood Middle,Suburban,Sports,3,1,2,4
boy,6,11,Brentwood Middle,Suburban,Grades,4,1,2,3
boy,6,11,Brentwood Middle,Suburban,Sports,2,1,4,3
boy,6,12,Brentwood Middle,Suburban,Grades,2,1,4,3
boy,6,11,Brentwood Middle,Suburban,Grades,2,1,4,3
boy,6,11,Brentwood Middle,Suburban,Grades,4,1,2,3
boy,6,12,Brentwood Middle,Suburban,Grades,4,1,2,3
boy,6,11,Brentwood Middle,Suburban,Grades,4,1,2,3
boy,6,11,Brentwood Middle,Suburban,Sports,2,3,1,4
boy,6,11,Brentwood Middle,Suburban,Popular,3,1,2,4
boy,6,12,Brentwood Middle,Suburban,Grades,3,1,2,4
boy,6,12,Brentwood Middle,Suburban,Popular,3,1,2,4
boy,6,11,Brentwood Middle,Suburban,Grades,3,1,2,4
boy,6,12,Brentwood Middle,Suburban,Popular,2,1,4,3
boy,6,11,Brentwood Middle,Suburban,Grades,1,2,3,4
boy,6,12,Brentwood Middle,Suburban,Grades,2,1,4,3
boy,6,11,Brentwood Middle,Suburban,Grades,1,2,3,4
boy,6,12,Brentwood Middle,Suburban,Sports,2,1,3,4
boy,6,11,Brentwood Middle,Suburban,Sports,2,1,3,4
boy,6,11,Brentwood Middle,Suburban,Grades,4,1,3,2
boy,5,11,Brentwood Middle,Suburban,Popular,3,2,1,4
boy,6,11,Brentwood Middle,Suburban,Grades,3,2,1,4
boy,6,11,Brentwood Middle,Suburban,Popular,3,1,4,2
boy,6,11,Brentwood Middle,Suburban,Grades,1,2,3,4
boy,6,12,Brentwood Middle,Suburban,Sports,2,3,1,4
boy,6,11,Brentwood Middle,Suburban,Grades,1,2,3,4
boy,6,12,Brentwood Middle,Suburban,Grades,2,1,3,4
boy,6,11,Brentwood Middle,Suburban,Grades,4,3,2,1
boy,6,12,Brentwood Middle,Suburban,Popular,4,1,2,3
boy,6,12,Brentwood Middle,Suburban,Grades,4,1,2,3
boy,6,12,Brentwood Middle,Suburban,Grades,4,3,1,2
boy,6,12,Brentwood Middle,Suburban,Sports,1,2,3,4
boy,6,13,Brentwood Middle,Suburban,Sports,1,2,4,3
boy,6,11,Brentwood Middle,Suburban,Grades,2,1,3,4
boy,6,12,Brentwood Middle,Suburban,Sports,3,1,2,4
boy,6,12,Brentwood Middle,Suburban,Grades,1,2,3,4
girl,4,9,Ridge,Rural,Grades,1,3,2,4
girl,4,9,Ridge,Rural,Grades,1,3,2,4
girl,4,9,Ridge,Rural,Popular,1,4,3,2
girl,4,9,Ridge,Rural,Popular,2,4,1,3
girl,4,9,Ridge,Rural,Sports,1,2,3,4
girl,4,9,Ridge,Rural,Popular,3,4,1,2
girl,4,9,Ridge,Rural,Sports,2,3,1,4
girl,4,9,Ridge,Rural,Grades,1,4,2,3
girl,4,9,Ridge,Rural,Sports,3,2,1,4
girl,4,9,Ridge,Rural,Sports,2,1,3,4
girl,4,9,Ridge,Rural,Popular,2,3,1,4
girl,4,9,Ridge,Rural,Popular,4,2,1,3
girl,4,10,Ridge,Rural,Grades,1,2,3,4
boy,4,9,Ridge,Rural,Grades,3,4,2,1
boy,4,10,Ridge,Rural,Grades,2,1,3,4
boy,4,9,Ridge,Rural,Grades,1,2,3,4
boy,4,9,Ridge,Rural,Popular,2,3,1,4
boy,4,10,Ridge,Rural,Sports,4,1,2,3
boy,4,9,Ridge,Rural,Popular,1,2,4,3
boy,4,9,Ridge,Rural,Sports,2,1,4,3
boy,4,9,Ridge,Rural,Popular,4,3,1,2
boy,4,9,Ridge,Rural,Popular,3,4,1,2
boy,4,9,Ridge,Rural,Grades,1,3,2,4
boy,5,10,Ridge,Rural,Grades,1,3,2,4
boy,5,10,Ridge,Rural,Sports,3,1,2,4
boy,5,10,Ridge,Rural,Sports,4,2,1,3
boy,5,11,Ridge,Rural,Sports,2,3,4,1
boy,5,10,Ridge,Rural,Popular,1,4,3,2
boy,5,11,Ridge,Rural,Grades,1,2,4,3
boy,5,11,Ridge,Rural,Popular,3,2,1,4
boy,5,10,Ridge,Rural,Sports,1,2,4,3
boy,5,10,Ridge,Rural,Sports,2,1,3,4
boy,5,10,Ridge,Rural,Sports,3,1,2,4
boy,5,11,Ridge,Rural,Popular,4,1,2,3
boy,5,10,Ridge,Rural,Grades,3,1,2,4
boy,5,10,Ridge,Rural,Popular,4,2,1,3
girl,5,10,Ridge,Rural,Sports,3,1,2,4
girl,5,10,Ridge,Rural,Grades,3,2,1,4
girl,5,10,Ridge,Rural,Popular,2,3,1,4
girl,5,10,Ridge,Rural,Popular,3,2,1,4
girl,5,11,Ridge,Rural,Sports,4,2,1,3
girl,5,10,Ridge,Rural,Grades,1,2,4,3
girl,5,11,Ridge,Rural,Popular,4,2,1,3
girl,5,11,Ridge,Rural,Grades,1,3,4,2
girl,5,10,Ridge,Rural,Popular,4,3,1,2
girl,5,10,Ridge,Rural,Popular,1,2,3,4
girl,5,11,Ridge,Rural,Grades,1,3,2,4
girl,5,10,Ridge,Rural,Grades,1,2,3,4
boy,5,12,Sand,Rural,Sports,2,1,3,4
boy,5,10,Sand,Rural,Popular,4,3,1,2
boy,5,10,Sand,Rural,Popular,2,1,3,4
boy,5,10,Sand,Rural,Sports,4,1,2,3
boy,5,10,Sand,Rural,Sports,2,1,4,3
boy,5,10,Sand,Rural,Sports,3,1,4,2
boy,5,11,Sand,Rural,Grades,4,2,3,1
boy,5,10,Sand,Rural,Grades,2,1,3,4
boy,5,10,Sand,Rural,Grades,1,2,4,3
girl,5,10,Sand,Rural,Popular,2,3,1,4
girl,5,10,Sand,Rural,Popular,3,2,1,4
girl,5,10,Sand,Rural,Popular,1,3,2,4
girl,5,11,Sand,Rural,Grades,2,4,1,3
girl,5,10,Sand,Rural,Grades,1,2,3,4
girl,5,10,Sand,Rural,Grades,2,4,3,1
girl,5,10,Sand,Rural,Popular,3,2,1,4
girl,5,10,Sand,Rural,Grades,2,4,1,3
boy,4,9,Sand,Rural,Grades,3,1,2,4
boy,4,10,Sand,Rural,Grades,3,1,4,2
boy,4,10,Sand,Rural,Grades,1,3,2,4
girl,4,9,Sand,Rural,Grades,2,1,3,4
girl,4,9,Sand,Rural,Grades,1,3,2,4
girl,4,9,Sand,Rural,Grades,3,4,1,2
girl,4,10,Sand,Rural,Popular,2,1,3,4
girl,4,9,Sand,Rural,Grades,1,3,2,4
girl,4,9,Sand,Rural,Sports,3,2,1,4
girl,4,9,Sand,Rural,Sports,3,2,1,4
girl,4,9,Sand,Rural,Grades,2,1,3,4
girl,6,12,Brown Middle,Rural,Popular,4,2,1,3
girl,6,11,Brown Middle,Rural,Popular,3,4,1,2
girl,6,11,Brown Middle,Rural,Grades,4,2,1,3
girl,6,11,Brown Middle,Rural,Grades,4,2,1,3
girl,6,11,Brown Middle,Rural,Grades,1,3,2,4
girl,6,12,Brown Middle,Rural,Grades,4,3,1,2
girl,6,12,Brown Middle,Rural,Grades,3,2,1,4
girl,6,11,Brown Middle,Rural,Popular,1,2,3,4
girl,6,11,Brown Middle,Rural,Sports,4,1,3,2
girl,6,12,Brown Middle,Rural,Grades,4,3,1,2
girl,6,11,Brown Middle,Rural,Popular,2,1,3,4
girl,6,11,Brown Middle,Rural,Popular,3,2,1,4
girl,6,11,Brown Middle,Rural,Grades,1,3,4,2
girl,6,11,Brown Middle,Rural,Popular,3,1,2,4
girl,6,11,Brown Middle,Rural,Popular,1,2,3,4
girl,6,11,Brown Middle,Rural,Popular,4,2,1,3
girl,6,12,Brown Middle,Rural,Grades,4,2,1,3
girl,6,11,Brown Middle,Rural,Grades,2,3,1,4
girl,6,11,Brown Middle,Rural,Grades,2,3,1,4
girl,6,11,Brown Middle,Rural,Grades,1,4,2,3
girl,6,11,Brown Middle,Rural,Popular,4,2,1,3
girl,6,12,Brown Middle,Rural,Grades,3,1,2,4
girl,6,11,Brown Middle,Rural,Grades,4,2,1,3
girl,6,12,Brown Middle,Rural,Sports,2,1,3,4
girl,6,11,Brown Middle,Rural,Sports,2,4,1,3
girl,6,11,Brown Middle,Rural,Grades,4,2,1,3
boy,6,12,Brown Middle,Rural,Sports,4,3,1,2
boy,6,13,Brown Middle,Rural,Sports,4,1,2,3
boy,6,11,Brown Middle,Rural,Sports,3,1,2,4
boy,6,11,Brown Middle,Rural,Sports,4,2,1,3
boy,6,12,Brown Middle,Rural,Popular,4,2,3,1
boy,6,11,Brown Middle,Rural,Sports,2,1,3,4
boy,6,12,Brown Middle,Rural,Sports,3,1,2,4
boy,6,11,Brown Middle,Rural,Grades,4,1,2,3
boy,6,12,Brown Middle,Rural,Grades,4,2,1,3
boy,6,11,Brown Middle,Rural,Sports,4,1,2,3
boy,6,12,Brown Middle,Rural,Popular,2,3,4,1
boy,6,11,Brown Middle,Rural,Grades,3,2,1,4
boy,6,11,Brown Middle,Rural,Grades,2,1,3,4
boy,6,12,Brown Middle,Rural,Sports,3,1,2,4
boy,6,11,Brown Middle,Rural,Grades,3,1,4,2
boy,6,11,Brown Middle,Rural,Grades,4,1,2,3
boy,6,12,Brown Middle,Rural,Popular,4,3,2,1
boy,6,12,Brown Middle,Rural,Sports,3,1,2,4
boy,6,11,Brown Middle,Rural,Grades,1,2,3,4
boy,6,12,Brown Middle,Rural,Sports,4,1,2,3
boy,6,11,Brown Middle,Rural,Popular,4,2,1,3
boy,6,13,Brown Middle,Rural,Sports,4,2,1,3
boy,6,11,Brown Middle,Rural,Grades,4,3,1,2
boy,6,11,Brown Middle,Rural,Sports,3,1,4,2
boy,6,11,Brown Middle,Rural,Popular,4,2,1,3
boy,6,11,Brown Middle,Rural,Sports,3,1,4,2
girl,4,9,Main,Urban,Grades,1,2,3,4
girl,4,9,Main,Urban,Popular,4,3,1,2
girl,4,9,Main,Urban,Grades,1,3,2,4
girl,4,9,Main,Urban,Sports,4,1,2,3
girl,4,9,Main,Urban,Grades,2,1,3,4
girl,4,9,Main,Urban,Grades,2,4,1,3
girl,4,10,Main,Urban,Grades,3,2,1,4
girl,4,10,Main,Urban,Grades,3,2,1,4
girl,4,9,Main,Urban,Grades,1,2,3,4
girl,4,9,Main,Urban,Popular,2,1,3,4
girl,4,9,Main,Urban,Sports,1,3,2,4
girl,4,9,Main,Urban,Grades,1,2,3,4
girl,4,9,Main,Urban,Grades,1,2,3,4
girl,4,9,Main,Urban,Grades,4,3,1,2
girl,4,9,Main,Urban,Grades,1,2,4,3
boy,4,9,Main,Urban,Grades,3,1,2,4
boy,4,9,Main,Urban,Popular,1,3,2,4
boy,4,9,Main,Urban,Grades,3,1,4,2
boy,4,9,Main,Urban,Sports,1,2,4,3
boy,4,9,Main,Urban,Grades,3,1,2,4
boy,4,9,Main,Urban,Sports,2,1,4,3
boy,4,9,Main,Urban,Sports,2,3,1,4
boy,4,9,Main,Urban,Grades,2,1,4,3
boy,4,9,Main,Urban,Grades,4,1,3,2
boy,4,10,Main,Urban,Grades,2,1,4,3
boy,4,9,Main,Urban,Grades,2,1,3,4
girl,5,10,Main,Urban,Grades,4,2,1,3
girl,5,10,Main,Urban,Grades,1,2,3,4
girl,5,11,Main,Urban,Grades,2,1,4,3
girl,5,10,Main,Urban,Grades,4,3,1,2
girl,5,10,Main,Urban,Popular,3,2,1,4
girl,5,10,Main,Urban,Popular,2,4,1,3
girl,5,11,Main,Urban,Grades,1,2,3,4
girl,5,10,Main,Urban,Grades,1,2,3,4
girl,5,10,Main,Urban,Popular,4,1,2,3
girl,5,11,Main,Urban,Sports,2,1,4,3
girl,5,10,Main,Urban,Grades,1,2,4,3
girl,5,10,Main,Urban,Grades,4,3,2,1
girl,5,10,Main,Urban,Popular,1,4,2,3
girl,5,10,Main,Urban,Grades,4,1,2,3
girl,5,10,Main,Urban,Popular,2,3,1,4
girl,5,10,Main,Urban,Popular,4,3,2,1
girl,5,10,Main,Urban,Popular,2,1,3,4
girl,5,10,Main,Urban,Grades,1,2,4,3
girl,5,10,Main,Urban,Grades,1,3,2,4
girl,5,10,Main,Urban,Grades,2,4,3,1
girl,5,10,Main,Urban,Grades,1,2,3,4
boy,5,10,Main,Urban,Grades,1,2,3,4
boy,5,11,Main,Urban,Sports,3,1,2,4
boy,5,10,Main,Urban,Grades,2,1,4,3
boy,5,11,Main,Urban,Grades,1,4,2,3
boy,5,10,Main,Urban,Grades,2,1,4,3
boy,5,10,Main,Urban,Grades,1,2,4,3
boy,5,10,Main,Urban,Grades,2,1,3,4
boy,5,10,Main,Urban,Sports,2,1,3,4
boy,5,11,Main,Urban,Grades,2,1,4,3
boy,5,9,Main,Urban,Grades,2,1,3,4
boy,5,10,Main,Urban,Grades,3,4,2,1
boy,5,10,Main,Urban,Grades,1,2,3,4
boy,5,10,Main,Urban,Grades,2,1,3,4
boy,5,10,Main,Urban,Sports,2,1,4,3
boy,5,11,Main,Urban,Popular,3,1,2,4
boy,5,11,Main,Urban,Grades,1,2,3,4
boy,5,11,Main,Urban,Popular,3,1,2,4
boy,5,9,Main,Urban,Grades,3,1,4,2
boy,5,11,Main,Urban,Sports,2,1,3,4
boy,5,10,Main,Urban,Sports,2,1,3,4
girl,5,10,Main,Urban,Grades,3,2,1,4
girl,4,9,Portage,Urban,Sports,4,3,1,2
boy,4,9,Portage,Urban,Sports,3,2,1,4
boy,4,9,Portage,Urban,Grades,4,3,1,2
boy,4,9,Portage,Urban,Grades,1,2,3,4
girl,4,9,Portage,Urban,Grades,1,2,3,4
girl,4,10,Portage,Urban,Grades,3,1,2,4
girl,4,9,Portage,Urban,Grades,1,3,2,4
girl,4,9,Portage,Urban,Popular,2,3,1,4
boy,4,9,Portage,Urban,Popular,4,1,2,3
boy,4,9,Portage,Urban,Popular,3,1,2,4
boy,4,9,Portage,Urban,Grades,1,3,2,4
boy,5,10,Portage,Urban,Grades,1,2,4,3
boy,5,11,Portage,Urban,Grades,1,3,2,4
boy,5,10,Portage,Urban,Grades,2,1,3,4
boy,5,11,Portage,Urban,Popular,3,2,1,4
boy,5,10,Portage,Urban,Grades,2,4,1,3
boy,5,10,Portage,Urban,Grades,3,1,4,2
boy,5,11,Portage,Urban,Grades,1,2,3,4
girl,5,10,Portage,Urban,Grades,1,3,2,4
girl,5,10,Portage,Urban,Popular,3,2,1,4
girl,5,10,Portage,Urban,Grades,1,2,3,4
girl,5,10,Portage,Urban,Popular,2,4,1,3
girl,5,10,Portage,Urban,Popular,3,1,2,4
girl,5,10,Portage,Urban,Grades,1,2,3,4
girl,5,11,Portage,Urban,Popular,3,1,2,4
girl,5,10,Portage,Urban,Popular,2,3,1,4
girl,5,10,Portage,Urban,Grades,3,1,2,4
girl,5,10,Portage,Urban,Grades,1,3,2,4
girl,5,10,Portage,Urban,Grades,2,1,3,4
boy,5,10,Portage,Urban,Sports,3,1,4,2
boy,5,11,Portage,Urban,Sports,3,1,2,4
boy,5,10,Portage,Urban,Grades,3,2,1,4
boy,5,10,Portage,Urban,Sports,3,1,2,4
boy,5,11,Portage,Urban,Grades,4,1,3,2
boy,5,10,Portage,Urban,Popular,4,3,1,2
girl,5,10,Portage,Urban,Grades,2,1,3,4
girl,5,11,Portage,Urban,Popular,2,4,1,3
girl,5,10,Portage,Urban,Popular,3,2,1,4
girl,5,11,Portage,Urban,Sports,3,2,1,4
girl,5,11,Portage,Urban,Popular,2,4,1,3
girl,5,11,Portage,Urban,Grades,2,4,1,3
girl,5,10,Portage,Urban,Popular,3,2,1,4
girl,5,10,Portage,Urban,Sports,3,2,1,4
girl,5,11,Portage,Urban,Popular,4,3,1,2
girl,5,10,Portage,Urban,Popular,3,2,1,4
boy,4,9,Portage,Urban,Sports,3,2,4,1
boy,4,9,Portage,Urban,Sports,3,2,4,1
boy,4,9,Portage,Urban,Grades,4,3,2,1
boy,4,9,Portage,Urban,Grades,1,4,3,2
girl,4,9,Portage,Urban,Sports,2,4,1,3
girl,4,9,Portage,Urban,Grades,2,4,1,3
girl,4,9,Portage,Urban,Sports,1,3,4,2
girl,4,9,Portage,Urban,Popular,4,3,1,2
girl,4,9,Portage,Urban,Grades,3,2,1,4
boy,4,9,Portage,Urban,Grades,2,1,4,3
boy,4,9,Portage,Urban,Grades,1,2,3,4
boy,4,9,Portage,Urban,Popular,3,1,2,4
girl,4,9,Portage,Urban,Grades,4,3,2,1
girl,4,9,Portage,Urban,Popular,4,2,3,1
girl,4,9,Portage,Urban,Grades,3,2,1,4
girl,4,9,Portage,Urban,Popular,3,2,1,4
girl,6,11,Westdale Middle,Urban,Popular,3,2,1,4
girl,6,11,Westdale Middle,Urban,Popular,4,3,2,1
girl,6,11,Westdale Middle,Urban,Popular,3,1,2,4
girl,6,11,Westdale Middle,Urban,Popular,4,2,1,3
girl,6,11,Westdale Middle,Urban,Grades,4,2,1,3
girl,6,11,Westdale Middle,Urban,Popular,4,2,1,3
girl,6,11,Westdale Middle,Urban,Popular,4,1,2,3
girl,6,11,Westdale Middle,Urban,Grades,3,2,1,4
girl,6,11,Westdale Middle,Urban,Grades,2,3,1,4
girl,6,11,Westdale Middle,Urban,Grades,4,3,1,2
girl,6,11,Westdale Middle,Urban,Grades,3,2,1,4
girl,6,11,Westdale Middle,Urban,Popular,3,2,1,4
girl,6,11,Westdale Middle,Urban,Grades,4,2,1,3
girl,6,11,Westdale Middle,Urban,Popular,3,1,2,4
girl,6,12,Westdale Middle,Urban,Popular,2,4,3,1
girl,6,11,Westdale Middle,Urban,Grades,4,3,1,2
girl,6,11,Westdale Middle,Urban,Grades,2,3,1,4
girl,6,11,Westdale Middle,Urban,Popular,3,2,1,4
girl,6,11,Westdale Middle,Urban,Popular,2,3,4,1
girl,6,12,Westdale Middle,Urban,Grades,2,1,3,4
girl,6,11,Westdale Middle,Urban,Grades,4,2,1,3
girl,5,11,Westdale Middle,Urban,Grades,3,2,1,4
girl,6,11,Westdale Middle,Urban,Grades,2,3,1,4
girl,6,11,Westdale Middle,Urban,Sports,4,1,2,3
girl,6,11,Westdale Middle,Urban,Grades,4,3,1,2
girl,6,11,Westdale Middle,Urban,Grades,3,4,1,2
girl,6,11,Westdale Middle,Urban,Popular,4,2,1,3
girl,6,11,Westdale Middle,Urban,Popular,3,4,1,2
girl,6,11,Westdale Middle,Urban,Grades,3,4,1,2
girl,6,11,Westdale Middle,Urban,Grades,3,2,1,4
girl,6,11,Westdale Middle,Urban,Grades,3,2,1,4
girl,6,11,Westdale Middle,Urban,Popular,4,3,1,2
girl,6,11,Westdale Middle,Urban,Sports,3,2,1,4
girl,6,11,Westdale Middle,Urban,Grades,4,2,1,3
boy,6,12,Westdale Middle,Urban,Grades,3,1,2,4
boy,6,11,Westdale Middle,Urban,Sports,3,2,1,4
boy,6,11,Westdale Middle,Urban,Grades,3,1,2,4
boy,6,11,Westdale Middle,Urban,Grades,1,2,3,4
boy,6,12,Westdale Middle,Urban,Grades,3,1,2,4
boy,6,11,Westdale Middle,Urban,Grades,2,1,3,4
boy,6,11,Westdale Middle,Urban,Popular,3,1,2,4
boy,6,12,Westdale Middle,Urban,Grades,3,1,2,4
